kelime,anlam,ornek_cumle,seviye,kategori,ipa,tur,es_anlamli,zit_anlamli,en_tanim
appreciate,"takdir etmek, kıymetini bilmek",I really appreciate your help.,intermediate,daily,əˈpriːʃieɪt,verb,"value, recognize",undervalue,to recognize the value of something
accomplish,başarmak,She accomplished her goal in three months.,intermediate,business,əˈkʌmplɪʃ,verb,"achieve, complete",fail,to succeed in doing something
resilient,dirençli,Children are remarkably resilient.,advanced,academic,rɪˈzɪliənt,adjective,"tough, hardy","fragile, weak",able to recover quickly from difficulties
ambition,hırs,Her ambition is to become a doctor.,intermediate,business,æmˈbɪʃən,noun,"aspiration, drive",apathy,a strong desire to achieve something
hesitate,tereddüt etmek,Don't hesitate to ask for help.,beginner,daily,ˈhezɪteɪt,verb,"pause, waver",decide,to pause before doing something
generous,cömert,He is very generous with his time.,beginner,daily,ˈdʒenərəs,adjective,"kind, giving","stingy, mean",willing to give more than expected
maintain,sürdürmek,We need to maintain this pace.,intermediate,business,meɪnˈteɪn,verb,"keep, preserve",abandon,to keep something in good condition
reluctant,isteksiz,She was reluctant to leave the house.,advanced,daily,rɪˈlʌktənt,adjective,"unwilling, hesitant","eager, willing",not wanting to do something
pursue,peşinden gitmek,He decided to pursue a career in music.,intermediate,business,pəˈsjuː,verb,"chase, seek",abandon,to follow or work towards something
overwhelmed,bunalmış,I'm overwhelmed by all this work.,intermediate,daily,ˌəʊvəˈwelmd,adjective,"swamped, buried",calm,feeling unable to cope due to too much
